year,total,mineral_industry,chemical_industry,metal_industry,non_energy_products_from_fuels,electronic_industry,product_usese_as_ODS,other_product_manufacture_use,other
1986,1585.886765890986,743.7714794379665,98.3015027939369,655.5938206499682,8.13615300911459,,,80.08381,
1987,1566.629765801041,709.0419444330329,106.474970717412,670.7069923348002,8.55056331579576,,,71.855295,
1988,1465.403879320702,768.0453285160999,132.2920837508871,492.5312357112551,8.90845134246004,,,63.62678,
1989,1410.635365295763,720.4594144887291,121.90977313958,502.5171926498558,9.14752001759813,,,56.601465,
1990,1367.876281450622,694.1022713211746,88.07519818983822,529.9718997050078,8.49606223460139,,,47.23085,
1991,1057.017948715313,583.9771736402655,66.61479435567766,356.2642732881175,8.42120743125233,,,41.7405,
1992,1047.321269566099,508.6105634308208,45.91048381140899,451.6276853523719,7.35853697149717,,,33.814,
1993,874.6386137857995,412.6443718696203,44.09490031513088,353.3449384515998,8.30925574944852,,28.5565124,27.688635,
1994,1051.184816781642,526.7107730836814,70.4319150756309,389.6535560590113,8.34152936331872,,28.7766232,27.27042,
1995,1056.358239910607,542.8846989240377,88.67735192706645,360.9052722085851,6.71758445220387,,29.92226239871374,27.25107,
1996,1057.842461433635,563.1340365454266,83.08606414203382,346.8547421854856,8.33220722306584,,27.17781133762296,29.2576,
1997,1097.038283898761,578.4845030642554,102.3287146052919,342.332547562446,12.67127256794094,,31.36389609882688,29.85735,
1998,1075.211025392189,592.211785767839,111.6390727185499,289.3876733245756,16.82193957078551,,28.09023901043949,37.060315,
1999,1099.291150344979,593.5916315663111,115.5333568618079,303.078427254133,15.22350778108833,,28.32792188163827,43.536305,
2000,1141.123584393479,598.4284711885401,114.214147246266,321.2869278424798,14.1406786601579,,41.05259945603513,52.00076,
2001,1196.90447492802,622.8028494645449,120.7750136385137,327.1756890723159,23.2363864554548,,55.9867962971906,46.92774,
2002,1203.843425031441,554.7760245885054,113.4990702607012,393.3448156228099,23.75329114108768,,70.19674841833722,48.273475,
2003,1271.402730195529,565.8700686074534,136.5772775582886,415.4467991259356,18.70445427664346,,88.69493562720741,46.109195,
2004,1321.818673246448,587.588062110203,126.5861881073509,418.9715075163695,27.83241546433778,,109.285800048187,51.5547,
2005,1394.631564356943,636.0738240262916,137.5137469894495,410.2985594565966,24.91009368106351,,130.2545015785412,55.580838625,
2006,1438.83624719657,673.840549251674,140.4077702353584,390.0937338768981,26.48638948983933,,151.7799100775355,56.227894265265,
2007,1448.780540918582,705.1011778611141,138.8034642704282,352.3520755830373,22.19730362492648,,176.2393645248659,54.08715505421,
2008,1322.27263132632,749.8782697541535,97.39328332612368,209.1755589986855,19.75285695500772,,202.52242060484,43.55024168751,
2009,985.6141215127182,516.8751502087168,91.12386479902932,97.0333999890353,17.12706282444312,,219.2626898414936,44.19195385,
2010,986.4021232488136,479.391672429149,89.90531593498818,125.9336249977227,14.8134239929981,,232.6797513689556,43.678334525,
2011,997.3635058547696,423.8104401234988,60.09568690070348,192.5233244023935,16.68203320082564,,244.2389556023482,60.013065625,
2012,1023.624822002169,416.8189980440807,46.23726192864319,203.8495725349496,20.41502833904076,,268.3359565304544,67.968004625,
2013,1090.763229655807,476.6588464113985,55.3710476930653,203.2328089137517,17.84788128883862,,288.9975523487531,48.655093,
2014,1127.971091877877,501.3748014625274,56.91571021650751,205.1119454997203,23.58723041658946,,302.9038065075322,38.077597775,
2015,1107.87076432244,452.4308980413069,59.86737614017082,206.8478523783241,25.64876666288793,,312.0942083497508,50.98166275,
2016,1114.398729489344,431.3621340702581,62.08704674915575,215.8635291418932,26.16209920369645,,328.0019157318407,50.9220045925,
2017,1171.848866051391,496.5502046236388,64.93642440262862,220.771783130833,31.31585052246558,,323.8659136968255,34.408689675,
2018,1195.046308572837,540.4923376100008,58.14853077548389,216.200129420214,33.76744203953536,,304.6051014962227,41.83276723138,
2019,1204.549735246576,565.0829073011583,60.3025666888,188.9935498013143,32.75603630958375,,282.1905939552199,75.2240811905,
2020,1148.841530201404,559.7014534374321,61.97909394014569,142.8775309537236,31.0116462229686,,277.7612655111739,75.51054013596,
2021,1111.135487745607,567.526706760132,65.212739461791,129.0734739323934,34.60032849097653,,267.039430544354,47.68280855596,
