year,total,forest_land,cropland,grassland,wetlands,settlements,other_land,harvested_wood_prducts,other
1986,-4790.406105690787,-4793.082738462796,269.0608883637893,-302.1340910412271,1.80610854125097,463.9680256322891,14.32768824318244,-457.0010080852898,
1987,-4804.027915429368,-4803.370105054169,270.4971593257005,-304.8411901347915,1.92306205736,464.2837200622766,14.44464175929147,-459.6142245630508,
1988,-4750.136817509486,-4816.139404177751,271.8207530035872,-283.949824228356,2.04001557346906,464.5994144922643,14.56159527540057,-415.7183885661145,
1989,-4673.425569101333,-4824.868883517171,272.6826684867215,-286.6569233219207,2.15696908957809,464.9151089222519,14.6785487915096,-328.9820786703177,
1990,-4394.558123200743,-4818.186298451153,271.9444916492846,-276.2537640821519,2.27392260568715,465.2308033522395,14.79550230761866,-67.01180170028312,
1991,-4747.576665493937,-4908.095063259159,136.6208786517485,-524.9058210354781,0.81833839743696,475.9054834994264,19.91823888786336,39.53822014772522,
1992,-4863.685674109869,-5127.281084596359,135.2629756523731,-460.4048025503482,0.90667445789078,478.0336895602182,20.31786006649553,76.88191598487315,
1993,-4863.807699041118,-5192.948332891096,136.0023986985179,-427.2922327318823,0.99501051834455,480.1618956210074,20.71748124512774,105.9849450853875,
1994,-5050.254886022497,-5293.279914478772,137.2048404157662,-456.5932815800828,1.08334657879833,482.2901016817939,21.11710242375999,45.37774542428078,
1995,-5135.995987095048,-5403.548675328457,139.6897185296878,-420.1467510949503,1.17168263925214,484.4183077425831,21.51672360239213,28.38379520399775,
1996,-5709.28029293495,-5492.217643695883,134.3601437987943,-852.3451916243415,-0.9726842621148,522.3307634533861,9.91975197922472,-42.76549925187404,
1997,-5920.839191961735,-5783.319310503291,135.0343074960607,-837.5739044228316,-0.62197794488159,519.7713253787471,9.56070520049397,24.00874110869963,
1998,-6064.379031655266,-5856.98447036754,136.9342118230342,-811.164288588063,-0.27139796985737,517.2093604599286,9.20165842176326,-71.49588221721052,
1999,-6101.297141501226,-5952.839738952912,137.5439353458238,-781.8296959414641,0.07905566295774,514.6448686969281,8.84261164303259,-39.82080979568144,
2000,-6200.753655079688,-6043.251655553529,137.6255213729523,-742.979527423506,0.4293829535637,512.0778500897461,8.48356486430185,-85.11227828071456,
2001,-6249.074085856345,-6124.973503677925,140.6196092729552,-717.3090318008553,0.7795839019606,509.5083046383791,8.12451808557114,-77.68790823134135,
2002,-7365.650323125661,-7229.893470109035,139.5158180310747,-705.189739112149,1.14418382325276,507.22673864492,7.76547130684044,-97.97452272288439,
2003,-7059.534057550612,-7197.287571123356,155.5789096708322,-519.8990824297671,5.56910533115435,598.0549416457333,15.80713886168705,-128.9821523691494,
2004,-7185.234407341679,-7255.701912083929,158.55435658959,-554.1243362876928,5.97815087481715,596.7458361458521,15.95254584770834,-164.133157140212,
2005,-7224.486918318968,-7266.735138418357,161.8617923980004,-564.3173014271716,6.3875583216807,595.444330613179,16.09831473693034,-184.5900391053494,
2006,-7241.734391710678,-7252.890910775855,164.8369943189608,-563.4593308482038,6.79732767174506,594.1504250477273,16.24444552935319,-218.6463630664589,
2007,-7555.892151281372,-7299.531221046072,148.2204829986039,-599.3235412005865,24.06021130002705,451.5927447801395,19.03418431502943,-310.8565873115639,
2008,-7304.72041933706,-7146.27581475381,149.7372061789579,-575.0233296958731,24.5755938918708,440.8017432113123,19.34610263376304,-228.4720501573297,
2009,-7239.121205979213,-7143.867932267114,151.7365404269264,-549.4758717671984,25.09097648371452,430.0107416424879,19.65802095249397,-182.5423652755686,
2010,-7166.774106035389,-7145.462245679893,153.8894433530661,-520.9701035213365,25.60635907555824,419.2197400736528,19.96993927122493,-128.9744769037063,
2011,-7067.696411057544,-7139.937050598445,159.1115871007043,-474.3532301873946,26.12948750073529,406.1808099659879,20.07440019890059,-74.55416970658472,
2012,-7006.86537319538,-7123.993484042517,155.4020034106279,-423.5824486586609,26.65261592591237,393.1418798583227,20.17886112657356,-64.02107185670361,
2013,-5307.3284190619,-5359.727795796634,172.4323201542752,-458.5607058130645,-2.11383333333334,351.8973937634727,5.14314178746286,-25.37659661847929,
2014,709.0255791390251,753.7404985803485,183.2133679724699,-458.7288586058205,-1.79978333333333,332.2403888295004,4.58992207797504,-112.8289989298514,
2015,808.4408849613832,869.3221512152887,189.1984836806975,-444.3932347095725,-1.48573333333333,312.5833838955255,4.03670236848717,-129.0412964567823,
2016,956.7345777468385,989.8687361454221,192.4189168902747,-431.8689033084047,-1.45857380952382,297.6418267505451,4.04998682878801,-101.8424088457468,
2017,949.4700362535767,1106.768650469564,150.2106900568412,-503.1786824057232,20.19356949271081,249.4465085233293,4.0632712890888,-85.74643142418319,
2018,1046.228590547508,1221.458508265157,151.6462945138445,-471.2781868358965,19.96422162772545,238.7829671203323,4.0765557493896,-125.9216933014581,
2019,-3344.820472559663,-3067.098326353372,148.6890646622041,-433.1627037815478,19.92763980812449,228.3121917627196,4.08984020969043,-252.8655654323605,
2020,-3142.730040502018,-3003.886303923851,150.7375153840356,-396.3142372838493,19.8910579885235,217.8414164051069,4.10312466999123,-142.1774634633193,
2021,-3105.759236315751,-2942.223659729451,149.5913779292522,-356.2048934423757,19.8544761689225,207.3706410474942,4.11640913029203,-195.1259002976947,
