year,total_source,energy_industries,manufacturing_construction_fuels,transport,industrial_processes,residential_commercial_agricultural_forestry_fishing_fuels,agriculture,waste,others,lulucf
2020,1017.87,15916.40,6207.59,2037.80,459.01,6214.51,1426.82,,1456.51,1814.50
2021,1038.48,16013.78,6211.71,2055.51,459.25,6309.19,1447.59,,1437.38,1819.56
2022,1059.09,16111.16,6215.83,2073.22,459.49,6403.87,1468.35,,1418.25,1824.61
2023,1079.70,16208.54,6219.95,2090.92,459.73,6498.55,1489.11,,1399.12,1829.67
2024,1100.31,16305.92,6224.07,2108.63,459.97,6593.23,1509.88,,1379.99,1834.72
2025,1120.91,16403.29,6228.19,2126.34,460.21,6687.91,1530.64,,1360.86,1839.78
2026,1133.01,16506.36,6218.10,2134.03,460.32,6794.24,1541.70,,1359.99,1844.83
2027,1145.10,16609.42,6208.01,2141.73,460.43,6900.56,1552.77,,1359.12,1849.89
2028,1157.20,16712.48,6197.92,2149.42,460.55,7006.89,1563.84,,1358.25,1854.94
2029,1169.29,16815.54,6187.83,2157.12,460.66,7113.22,1574.90,,1357.38,1860.00
2030,1181.38,16918.60,6177.74,2164.81,460.77,7219.55,1585.97,,1356.51,1865.06
2031,1188.90,17021.60,6172.68,2178.83,460.91,7322.71,1590.69,,1347.37,1868.10
2032,1196.42,17124.59,6167.63,2192.86,461.05,7425.87,1595.40,,1338.23,1871.15
2033,1203.94,17227.58,6162.57,2206.88,461.18,7529.03,1600.12,,1329.10,1874.20
2034,1211.45,17330.57,6157.52,2220.90,461.32,7632.20,1604.84,,1319.96,1877.25
2035,1218.97,17433.57,6152.46,2234.92,461.46,7735.36,1609.56,,1310.82,1880.30
2036,1223.78,17607.02,6148.56,2249.98,461.63,7900.71,1616.38,,1307.77,1883.34
2037,1228.58,17780.47,6144.67,2265.03,461.81,8066.05,1623.20,,1304.72,1886.39
2038,1233.39,17953.91,6140.77,2280.08,461.99,8231.40,1630.02,,1301.66,1889.44
2039,1238.20,18127.36,6136.87,2295.13,462.17,8396.75,1636.84,,1298.61,1892.49
2040,1243.00,18300.81,6132.97,2310.19,462.35,8562.10,1643.67,,1295.56,1895.54
2041,1246.23,18331.90,6130.51,2324.86,462.52,8583.75,1648.80,,1292.78,1895.54
2042,1249.45,18362.98,6128.05,2339.53,462.70,8605.40,1653.94,,1290.00,1895.54
2043,1252.67,18394.07,6125.59,2354.20,462.88,8627.05,1659.08,,1287.22,1895.54
2044,1255.90,18425.15,6123.13,2368.87,463.06,8648.71,1664.21,,1284.44,1895.54
2045,1259.12,18456.23,6120.68,2383.55,463.24,8670.36,1669.35,,1281.66,1895.54
2046,1261.76,18431.46,6118.64,2397.83,463.43,8637.89,1671.83,,1277.09,1895.54
2047,1264.40,18406.69,6116.61,2412.12,463.62,8605.43,1674.30,,1272.53,1895.54
2048,1267.04,18381.92,6114.58,2426.41,463.80,8572.97,1676.78,,1267.96,1895.54
2049,1269.68,18357.14,6112.54,2440.70,463.99,8540.50,1679.26,,1263.39,1895.54
2050,1272.32,18332.37,6110.51,2454.99,464.18,8508.04,1681.74,,1258.83,1895.54
