year_start,year_end,temperature_average
1961,1970,7.868
1962,1971,7.755
1963,1972,7.824
1964,1973,7.844
1965,1974,7.926
1966,1975,8.032
1967,1976,7.938
1968,1977,7.952
1969,1978,7.883
1970,1979,7.950
1971,1980,7.888
1972,1981,7.920
1973,1982,7.981
1974,1983,8.065
1975,1984,7.984
1976,1985,7.876
1977,1986,7.855
1978,1987,7.791
1979,1988,7.910
1980,1989,7.977
1981,1990,8.122
1982,1991,8.126
1983,1992,8.200
1984,1993,8.192
1985,1994,8.403
1986,1995,8.518
1987,1996,8.519
1988,1997,8.574
1989,1998,8.609
1990,1999,8.615
1991,2000,8.732
1992,2001,8.820
1993,2002,8.866
1994,2003,8.936
1995,2004,8.817
1996,2005,8.767
1997,2006,8.930
1998,2007,9.053
1999,2008,9.117
2000,2009,9.178
2001,2010,9.040
2002,2011,9.090
2003,2012,9.103
2004,2013,9.147
2005,2014,9.343
2006,2015,9.551
2007,2016,9.623
2008,2017,9.621
2009,2018,9.681
2010,2019,9.814
2011,2020,9.972
