year,temperature_average
1961,8.885
1962,7.112
1963,7.395
1964,7.681
1965,7.377
1966,8.578
1967,8.402
1968,7.974
1969,7.367
1970,7.911
1971,7.757
1972,7.802
1973,7.589
1974,8.501
1975,8.440
1976,7.636
1977,8.541
1978,7.289
1979,8.032
1980,7.294
1981,8.079
1982,8.405
1983,8.436
1984,7.687
1985,7.364
1986,7.422
1987,7.904
1988,8.482
1989,8.700
1990,8.740
1991,8.120
1992,9.149
1993,8.353
1994,9.799
1995,8.510
1996,7.435
1997,8.455
1998,8.835
1999,8.759
2000,9.907
2001,8.996
2002,9.617
2003,9.052
2004,8.607
2005,8.006
2006,9.068
2007,9.685
2008,9.469
2009,9.368
2010,8.530
2011,9.493
2012,9.754
2013,9.492
2014,10.567
2015,10.087
2016,9.786
2017,9.663
2018,10.073
2019,10.697
2020,10.111
