year,total,aviation,navigation
1986,58.57873311121999,58.57873311121999,"NO,NA"
1987,59.338517301,59.338517301,"NO,NA"
1988,54.315150757,54.315150757,"NO,NA"
1989,51.175546667,51.175546667,"NO,NA"
1990,49.291784213,49.291784213,"NO,NA"
1991,21.349307812,21.349307812,"NO,NA"
1992,33.7821400084,33.7821400084,"NO,NA"
1993,48.2243188224,48.2243188224,"NO,NA"
1994,53.8756061844,53.8756061844,"NO,NA"
1995,57.6431310924,57.6431310924,"NO,NA"
1996,53.27908140729999,53.27908140729999,"NO,NA"
1997,56.12356271284,56.12356271284,"NO,NA"
1998,50.15517533775,50.15517533775,"NO,NA"
1999,60.13911634395,60.13911634395,"NO,NA"
2000,69.35385434809999,69.35385434809999,"NO,NA"
2001,78.52667863764852,78.52667863764852,"NO,NA"
2002,80.9552565893862,80.9552565893862,"NO,NA"
2003,77.1785326414025,77.1785326414025,"NO,NA"
2004,57.73370867039649,57.73370867039649,NO
2005,130.1963669417873,61.40588694178728,68.79048
2006,165.34610495325165,71.10002051325165,94.24608444
2007,252.31683545731354,93.66253727731355,158.65429818
2008,318.00935765027367,104.04467740985233,213.96468024042136
2009,183.23761989384855,77.97829654966456,105.259323344184
2010,133.4196811385508,73.36943623564682,60.050244902904
2011,174.7275732070792,68.8590244870792,105.86854872
2012,230.21146376426407,66.38716709296084,163.82429667130322
2013,275.24742847071116,73.13474455071113,202.11268392000002
2014,258.4455190761802,72.17179344066312,186.27372563551705
2015,283.3158360337632,74.78687643376318,208.52895960000004
2016,461.49071332837207,61.105486482852,400.38522684552004
2017,578.9654184788129,74.30929555761286,504.65612292120005
2018,836.6466070799016,102.29267786030147,734.3539292196001
2019,697.2359077058599,77.89873584241988,619.33717186344
